id,Product_ID,name,Brand,category,Price,Ingredients
0,60,DermaCare Moisturizer,DermaCare,Moisturizer,18,Hyaluronic Acid
1,70,DermaCare Moisturizer,DermaCare,Moisturizer,149,Retinol
2,0,LuxuryGlow Moisturizer,LuxuryGlow,Moisturizer,52,Retinol
3,78,LuxuryGlow Moisturizer,LuxuryGlow,Moisturizer,133,Ceramides|Retinol
4,32,ClinicalSkin Moisturizer,ClinicalSkin,Moisturizer,119,Ceramides|Retinol
5,47,DermaCare Moisturizer,DermaCare,Moisturizer,113,Retinol|Vitamin C|Ceramides
6,13,ClinicalSkin Moisturizer,ClinicalSkin,Moisturizer,51,Ceramides|Retinol
7,10,InfluenceX Moisturizer,InfluenceX,Moisturizer,46,Retinol
8,94,DermaCare Moisturizer,DermaCare,Moisturizer,61,Vitamin C|Ceramides|Retinol
9,30,LuxuryGlow Moisturizer,LuxuryGlow,Moisturizer,140,Hyaluronic Acid
10,45,ClinicalSkin Moisturizer,ClinicalSkin,Moisturizer,143,Retinol
11,65,DermaCare Moisturizer,DermaCare,Moisturizer,121,Vitamin C
12,75,ClinicalSkin Moisturizer,ClinicalSkin,Moisturizer,48,Hyaluronic Acid
13,20,InfluenceX Moisturizer,InfluenceX,Moisturizer,52,Retinol|Hyaluronic Acid
14,36,LuxuryGlow Moisturizer,LuxuryGlow,Moisturizer,118,Retinol|Hyaluronic Acid|Ceramides
15,1,DermaCare Serum,DermaCare,Serum,134,Hyaluronic Acid
16,6,ClinicalSkin Serum,ClinicalSkin,Serum,13,Hyaluronic Acid|Vitamin C
17,26,DermaCare Serum,DermaCare,Serum,18,Ceramides
18,80,DermaCare Serum,DermaCare,Serum,12,Vitamin C|Hyaluronic Acid
19,71,DermaCare Serum,DermaCare,Serum,82,Ceramides
20,62,DermaCare Serum,DermaCare,Serum,107,Vitamin C|Hyaluronic Acid
21,54,BudgetBeauty Serum,BudgetBeauty,Serum,88,Vitamin C|Hyaluronic Acid|Retinol
22,57,LuxuryGlow Serum,LuxuryGlow,Serum,146,Vitamin C|Retinol|Hyaluronic Acid
23,16,DermaCare Serum,DermaCare,Serum,132,Vitamin C
