User_ID,Product_ID,User_Rating
0,114,2.38
0,63,3.97
0,560,3.1
0,517,3.14
0,207,3.37
1,586,4.34
1,549,3.96
1,153,4.63
1,168,3.8
1,335,3.89
2,532,2.89
2,452,2.45
2,119,3.37
2,210,4.03
2,597,3.9
3,500,2.78
3,93,3.74
3,522,2.41
3,456,2.51
3,56,3.19
4,464,4.53
4,135,2.81
4,525,3.73
4,425,2.71
4,467,4.06
5,577,2.58
5,59,2.03
5,572,3.74
5,473,3.25
5,315,3.86
6,22,3.48
6,405,3.32
6,260,4.58
6,3,3.07
6,223,3.72
7,592,3.29
7,74,2.81
7,46,3.16
7,433,3.91
7,352,3.09
8,65,3.75
8,554,3.55
8,61,3.57
8,70,3.27
8,483,3.82
9,32,3.97
9,293,4.18
9,418,3.57
9,184,4.3
9,138,4.74
10,430,2.19
10,383,4.3
10,391,2.99
10,459,2.15
10,386,2.88
11,384,5.0
11,82,5.0
11,552,3.92
11,136,3.06
11,356,2.74
12,121,4.03
12,182,3.03
12,550,2.95
12,402,3.56
12,541,3.54
13,130,2.79
13,228,5.0
13,3,4.79
13,23,2.32
13,305,4.03
14,474,2.89
14,557,3.89
14,434,2.71
14,544,4.55
14,388,3.86
15,235,2.86
15,253,3.3
15,471,3.96
15,354,3.58
15,158,3.77
16,282,2.97
16,193,3.18
16,115,4.13
16,32,3.59
16,429,4.08
17,16,2.61
17,246,3.08
17,211,4.46
17,68,4.89
17,103,3.67
18,34,3.35
18,457,4.01
18,49,3.33
18,250,3.29
18,45,1.27
19,411,3.34
19,449,3.21
19,239,3.65
19,552,2.83
19,222,3.24
20,57,2.88
20,143,2.89
20,515,3.63
20,296,3.37
20,239,3.32
21,589,1.98
21,326,3.04
21,591,2.27
21,328,3.28
21,242,3.52
22,309,2.81
22,146,3.45
22,533,4.11
22,226,3.91
22,423,3.59
23,307,3.87
23,281,3.97
23,62,4.88
23,570,4.57
23,179,3.24
24,437,3.76
24,569,2.98
24,507,4.24
24,48,3.5
24,352,3.73
25,390,4.16
25,537,3.26
25,326,3.97
25,426,3.05
25,418,2.27
26,152,2.37
26,307,3.02
26,385,3.52
26,188,2.49
26,550,3.57
27,484,2.32
27,246,3.2
27,230,2.72
27,307,3.71
27,147,2.6
28,474,4.26
28,59,4.71
28,575,3.31
28,422,3.45
28,426,4.33
29,570,2.97
29,542,3.4
29,137,3.04
29,397,4.24
29,248,3.99
30,261,3.56
30,208,3.11
30,338,2.62
30,80,2.64
30,460,3.21
31,379,3.41
31,94,4.88
31,548,4.02
31,195,3.29
31,52,3.4
32,274,2.59
32,386,2.05
32,40,2.98
32,74,2.68
32,192,4.14
33,572,3.0
33,222,3.39
33,490,3.26
33,213,3.51
33,340,4.2
34,310,2.54
34,15,3.85
34,216,4.35
34,194,5.0
34,120,4.51
35,490,3.56
35,248,3.53
35,209,2.59
35,406,2.45
35,245,2.94
36,565,3.92
36,329,2.94
36,289,3.96
36,389,2.96
36,477,3.01
37,546,4.81
37,367,3.1
37,315,1.9
37,267,3.44
37,368,2.92
38,525,3.13
38,509,4.55
38,477,3.51
38,100,3.69
38,480,4.26
39,327,4.47
39,208,4.86
39,379,3.8
39,320,4.29
39,423,3.29
40,46,4.38
40,576,4.15
40,226,5.0
40,149,4.0
40,16,3.47
41,267,3.66
41,566,3.46
41,598,3.21
41,593,2.98
41,427,3.3
42,302,4.66
42,156,3.07
42,200,4.7
42,337,2.8
42,235,2.94
43,388,3.17
43,583,4.25
43,251,3.27
43,511,3.93
43,563,2.92
44,345,3.47
44,263,4.62
44,500,2.2
44,502,3.3
44,471,2.82
45,172,3.61
45,360,5.0
45,173,5.0
45,143,3.72
45,559,3.41
46,500,2.38
46,188,2.49
46,555,2.94
46,60,3.57
46,536,4.72
47,34,3.43
47,76,4.02
47,49,3.04
47,6,2.97
47,422,4.7
48,140,2.64
48,236,2.67
48,69,2.92
48,154,3.58
48,9,3.81
49,223,3.7
49,517,3.48
49,466,3.21
49,382,2.87
49,61,3.28
50,494,3.43
50,499,5.0
50,16,2.42
50,6,2.55
50,544,3.38
51,564,2.1
51,421,3.99
51,12,3.4
51,17,3.82
51,542,1.92
52,281,2.26
52,548,4.31
52,293,3.72
52,17,3.92
52,514,2.87
53,440,3.7
53,183,4.59
53,109,3.71
53,98,3.41
53,536,3.37
54,152,3.58
54,246,2.53
54,196,3.76
54,539,2.98
54,258,2.6
55,362,3.31
55,273,4.5
55,406,2.02
55,80,3.96
55,382,3.58
56,415,2.7
56,470,3.33
56,578,2.77
56,249,4.01
56,231,2.96
57,307,4.24
57,82,3.75
57,32,3.38
57,95,4.08
57,415,3.52
58,388,3.28
58,386,3.05
58,565,3.67
58,487,3.51
58,57,3.11
59,9,3.25
59,175,2.61
59,84,3.29
59,511,3.94
59,444,3.57
60,339,2.27
60,579,3.88
60,97,2.22
60,540,2.82
60,43,3.68
61,235,3.71
61,216,3.35
61,580,2.38
61,486,3.99
61,277,3.73
62,47,3.09
62,76,2.45
62,287,3.28
62,556,3.54
62,577,3.13
63,33,3.29
63,183,3.31
63,322,3.43
63,16,2.87
63,212,4.19
64,147,2.71
64,407,4.26
64,78,3.25
64,306,4.01
64,166,3.18
65,577,4.24
65,246,3.78
65,580,2.58
65,398,3.42
65,553,4.24
66,339,3.86
66,393,2.74
66,143,2.79
66,80,3.78
66,512,3.53
67,354,4.04
67,54,3.93
67,100,2.77
67,447,3.49
67,237,4.63
68,77,3.6
68,348,3.6
68,406,1.79
68,334,3.77
68,30,4.11
69,279,3.8
69,461,3.81
69,502,2.72
69,233,2.05
69,364,4.82
70,566,3.99
70,384,4.33
70,442,3.96
70,190,4.14
70,599,3.8
71,389,2.32
71,87,3.09
71,302,3.35
71,252,3.35
71,75,2.22
72,84,3.11
72,274,3.56
72,157,3.85
72,389,2.6
72,398,3.21
73,324,2.29
73,369,1.93
73,109,4.94
73,93,4.93
73,5,4.06
74,315,2.97
74,455,4.01
74,368,2.28
74,276,4.97
74,104,3.4
75,135,4.88
75,89,2.81
75,191,4.31
75,441,5.0
75,459,1.86
76,570,3.14
76,568,2.76
76,524,3.63
76,417,4.01
76,105,3.67
77,26,2.97
77,91,2.85
77,362,4.04
77,567,5.0
77,95,2.98
78,332,3.88
78,394,4.51
78,12,3.49
78,298,4.85
78,423,4.07
79,397,2.51
79,86,4.09
79,572,3.41
79,248,3.94
79,585,2.1
80,533,3.84
80,173,3.46
80,389,3.5
80,142,3.61
80,275,4.0
81,308,2.34
81,274,2.98
81,504,4.21
81,149,4.32
81,64,3.64
82,171,4.43
82,445,3.96
82,282,4.02
82,431,3.8
82,306,2.09
83,495,3.02
83,78,4.17
83,369,4.29
83,257,3.35
83,252,3.9
84,507,4.71
84,200,4.5
84,468,4.0
84,109,4.6
84,138,3.7
85,311,3.82
85,6,3.41
85,405,4.84
85,340,4.11
85,389,2.98
86,337,2.53
86,450,4.36
86,342,3.51
86,440,4.61
86,139,3.47
87,307,4.48
87,328,4.58
87,205,4.16
87,490,3.84
87,321,3.52
88,181,3.22
88,407,5.0
88,326,4.91
88,298,3.43
88,502,3.89
89,589,2.03
89,248,4.36
89,333,3.29
89,385,2.22
89,287,2.67
90,402,3.87
90,373,2.92
90,116,3.47
90,577,3.12
90,204,2.8
91,558,2.58
91,184,3.27
91,563,3.61
91,27,2.46
91,472,2.77
92,214,2.69
92,448,3.21
92,298,3.89
92,70,2.93
92,418,2.73
93,511,4.13
