User_ID,Age,Skin_Type,Skin_Tone,Climate,Diet,Hormonal_Status,Budget_Level,Acne_Severity,Dryness_Severity,Pigmentation_Severity,Aging_Severity,Sensitivity_Severity
0,43,Sensitive,Medium,Humid,Vegan,Pregnant,High,0.0,0.0,0.0,2.4,6.336962022905103
1,29,Sensitive,Deep,Cold,Vegan,Teen,High,4.545657342021536,3.589759707966979,4.333578090531828,0.0,7.976537392497183
2,22,Dry,Medium,Humid,High_Dairy,Pregnant,High,0.0,8.522341556843559,0.0,0.0,0.0
3,35,Dry,Medium,Humid,Balanced,Stable,Low,0.0,7.448085179680777,0.0,0.0,0.0
4,33,Sensitive,Deep,Temperate,High_Dairy,PCOS,Medium,0.0,0.0,3.929117043341678,0.0,5.225883653991333
5,37,Dry,Medium,Cold,Vegan,PCOS,Medium,0.0,10.0,0.0,0.6,0.0
6,25,Oily,Fair,Temperate,Junk_Food,Stable,High,9.884864261513055,0.0,0.0,0.0,0.0
7,25,Oily,Medium,Dry,Balanced,PCOS,Low,8.325790670496765,0.0,0.0,0.0,0.0
8,38,Normal,Dusky,Cold,Vegan,Teen,High,3.249884413374259,2.939465164066614,3.548370533725738,0.8999999999999999,0.0
9,38,Oily,Deep,Humid,Vegan,Teen,High,10.0,0.0,5.528174393008969,0.8999999999999999,0.0
10,17,Dry,Medium,Humid,High_Dairy,Pregnant,High,0.0,6.712360371984766,0.0,0.0,0.0
11,36,Dry,Medium,Humid,High_Sugar,PCOS,High,2.1933139929816896,7.9072829096378525,0.0,0.3,0.0
12,16,Combination,Deep,Temperate,Vegan,PCOS,Medium,0.0,0.0,5.953249469698289,0.0,0.0
13,38,Oily,Very_Fair,Temperate,High_Sugar,PCOS,High,10.0,0.0,0.0,0.8999999999999999,0.0
14,44,Sensitive,Fair,Temperate,Balanced,Stable,High,0.0,0.0,0.0,2.6999999999999997,6.3266921540739975
15,16,Sensitive,Fair,Cold,Junk_Food,Pregnant,High,2.5676025897535704,2.861666515182244,0.0,0.0,5.446870835640439
16,35,Normal,Medium,Cold,High_Sugar,PCOS,Medium,2.5238135307131855,2.9747708405582984,0.0,0.0,0.0
17,47,Combination,Deep,Cold,High_Sugar,PCOS,Low,2.289591119371745,3.5830636388672525,3.0346839603062605,3.5999999999999996,0.0
18,26,Sensitive,Dusky,Cold,High_Sugar,Teen,Low,6.193141230646409,3.8578956076154465,4.720356628117233,0.0,5.884711928044668
19,36,Normal,Medium,Dry,High_Sugar,Stable,Low,2.7043813746922387,0.0,0.0,0.3,0.0
20,39,Oily,Fair,Humid,High_Sugar,PCOS,Low,8.71737455992384,0.0,0.0,1.2,0.0
21,41,Combination,Medium,Temperate,Balanced,PCOS,Low,0.0,0.0,0.0,1.7999999999999998,0.0
22,42,Combination,Deep,Temperate,Vegan,Stable,High,0.0,0.0,3.4345460306434217,2.1,0.0
23,30,Dry,Dusky,Dry,Junk_Food,Teen,High,5.7720539776194375,6.275528604614966,3.6494359704655697,0.0,0.0
24,29,Oily,Very_Fair,Humid,Vegan,Stable,Low,7.082904294386514,0.0,0.0,0.0,0.0
25,17,Combination,Dusky,Humid,Balanced,Pregnant,Medium,0.0,0.0,3.7706796850526803,0.0,0.0
26,21,Normal,Medium,Dry,Balanced,Teen,High,2.7132265472624284,0.0,0.0,0.0,0.0
27,35,Sensitive,Fair,Cold,High_Sugar,PCOS,Low,3.2413129915185785,3.3788327305947994,0.0,0.0,5.723737666168029
28,23,Oily,Deep,Humid,Balanced,PCOS,Medium,6.888565148634321,0.0,5.293700259062229,0.0,0.0
29,32,Oily,Medium,Cold,Balanced,Pregnant,Low,7.759617034416113,2.1385814498673827,0.0,0.0,0.0
30,18,Combination,Very_Fair,Dry,High_Sugar,Stable,Medium,2.720141607866849,0.0,0.0,0.0,0.0
31,39,Combination,Deep,Temperate,Balanced,PCOS,Low,0.0,0.0,5.169827075641447,1.2,0.0
32,28,Combination,Deep,Temperate,Balanced,Stable,High,0.0,0.0,3.538312471268437,0.0,0.0
33,23,Normal,Deep,Temperate,Balanced,Stable,Low,0.0,0.0,3.5877815476856005,0.0,0.0
34,40,Dry,Medium,Temperate,High_Dairy,Stable,Low,0.0,7.890515123347272,0.0,1.5,0.0
35,16,Combination,Very_Fair,Humid,Vegan,PCOS,Low,0.0,0.0,0.0,0.0,0.0
36,34,Dry,Medium,Cold,High_Dairy,Teen,Low,2.8512528607402103,10.0,0.0,0.0,0.0
37,42,Dry,Deep,Temperate,Vegan,PCOS,Low,0.0,8.251741851002643,4.494866590718912,2.1,0.0
38,21,Oily,Deep,Temperate,High_Sugar,Teen,Medium,10.0,0.0,4.630914580392774,0.0,0.0
39,22,Sensitive,Fair,Temperate,High_Sugar,Teen,High,6.582582810105658,0.0,0.0,0.0,6.446304340864479
40,49,Sensitive,Dusky,Dry,Vegan,Teen,High,4.470793159351732,0.0,5.495344150075718,4.2,6.127971410353662
41,28,Normal,Medium,Humid,Vegan,PCOS,High,0.0,0.0,0.0,0.0,0.0
42,31,Normal,Very_Fair,Dry,Junk_Food,Pregnant,Medium,3.6443919904535296,0.0,0.0,0.0,0.0
43,18,Sensitive,Deep,Cold,Vegan,Pregnant,Low,0.0,3.364796859750375,4.228288570267068,0.0,7.909116472701596
44,16,Sensitive,Medium,Temperate,Vegan,Teen,High,2.0926829632895183,0.0,0.0,0.0,6.147988666323681
45,20,Oily,Dusky,Humid,High_Sugar,PCOS,Medium,10.0,0.0,3.2983597083128053,0.0,0.0
46,18,Oily,Medium,Humid,High_Sugar,Pregnant,Low,10.0,0.0,0.0,0.0,0.0
47,43,Sensitive,Dusky,Humid,Balanced,Pregnant,High,0.0,0.0,3.552527472084638,2.4,5.449842542340202
48,32,Combination,Medium,Dry,Balanced,PCOS,Medium,0.0,0.0,0.0,0.0,0.0
49,40,Combination,Fair,Dry,High_Sugar,Stable,Medium,2.0956626664062963,0.0,0.0,1.5,0.0
50,48,Oily,Medium,Dry,Balanced,Pregnant,High,5.635500801911151,0.0,0.0,3.9,0.0
51,24,Dry,Fair,Dry,High_Dairy,Pregnant,Low,0.0,8.424645108786137,0.0,0.0,0.0
52,28,Sensitive,Dusky,Cold,High_Dairy,PCOS,Medium,0.0,3.8879123329083445,5.704266723301981,0.0,6.095914387302522
53,45,Normal,Deep,Temperate,Balanced,PCOS,Medium,0.0,0.0,5.177626528554294,3.0,0.0
54,29,Combination,Deep,Temperate,Balanced,PCOS,Low,0.0,0.0,5.48113101250255,0.0,0.0
55,22,Dry,Medium,Dry,Vegan,Pregnant,Medium,0.0,8.437456465597894,0.0,0.0,0.0
56,28,Combination,Very_Fair,Dry,Vegan,PCOS,Low,0.0,0.0,0.0,0.0,0.0
57,37,Dry,Medium,Dry,High_Dairy,Teen,High,2.188054837895388,6.644491120492388,0.0,0.6,0.0
58,35,Sensitive,Fair,Cold,High_Dairy,Teen,Low,4.816834792100828,3.479812332275376,0.0,0.0,7.503057214367438
59,30,Sensitive,Fair,Cold,Vegan,PCOS,Medium,0.0,3.0282464928071535,0.0,0.0,6.179168145411884
60,32,Sensitive,Dusky,Humid,Vegan,Pregnant,Low,0.0,0.0,4.953670958942293,0.0,6.418570171386858
61,38,Oily,Medium,Temperate,Vegan,Pregnant,Low,6.495048450547152,0.0,0.0,0.8999999999999999,0.0
62,40,Dry,Dusky,Dry,Balanced,Pregnant,Low,0.0,7.043626689861155,3.4737209828494082,1.5,0.0
63,39,Normal,Very_Fair,Humid,High_Sugar,PCOS,Low,3.058826378615569,0.0,0.0,1.2,0.0
64,43,Normal,Deep,Temperate,High_Dairy,Stable,Medium,0.0,0.0,4.559539712173887,2.4,0.0
65,29,Sensitive,Deep,Humid,Junk_Food,Teen,High,5.530210065244701,0.0,5.744768992426687,0.0,7.226168369471174
66,15,Normal,Medium,Cold,Vegan,PCOS,High,0.0,2.2619282002253005,0.0,0.0,0.0
67,39,Combination,Dusky,Cold,Balanced,Stable,Low,0.0,2.1586878875757165,4.92876201753805,1.2,0.0
68,21,Dry,Dusky,Humid,High_Dairy,Stable,High,0.0,7.024508158531852,3.9571456609423667,0.0,0.0
69,23,Dry,Very_Fair,Humid,Vegan,PCOS,Medium,0.0,8.519973183390858,0.0,0.0,0.0
70,38,Dry,Dusky,Temperate,Balanced,Stable,Medium,0.0,7.035429598454065,4.89654606608056,0.8999999999999999,0.0
71,15,Combination,Fair,Dry,High_Dairy,Stable,High,0.0,0.0,0.0,0.0,0.0
72,22,Oily,Fair,Temperate,High_Dairy,Stable,High,7.148298046085996,0.0,0.0,0.0,0.0
73,38,Combination,Fair,Temperate,Junk_Food,Teen,Medium,5.520854978879775,0.0,0.0,0.8999999999999999,0.0
74,25,Dry,Medium,Cold,Junk_Food,Stable,Low,3.8863857798094177,10.0,0.0,0.0,0.0
75,31,Dry,Fair,Cold,High_Dairy,Stable,Low,0.0,10.0,0.0,0.0,0.0
76,22,Dry,Fair,Humid,Balanced,PCOS,Medium,0.0,7.989316500641062,0.0,0.0,0.0
77,49,Normal,Deep,Cold,Vegan,PCOS,High,0.0,3.4985211213890475,4.302065052560833,4.2,0.0
78,49,Oily,Medium,Temperate,Vegan,Teen,High,9.76271787175638,0.0,0.0,4.2,0.0
79,47,Combination,Fair,Humid,High_Dairy,PCOS,High,0.0,0.0,0.0,3.5999999999999996,0.0
80,19,Dry,Very_Fair,Humid,Vegan,Teen,High,2.95549178222209,8.123000891815323,0.0,0.0,0.0
81,42,Sensitive,Fair,Cold,Junk_Food,Stable,High,3.2051424665353556,2.27277148725155,0.0,2.1,7.964146094284692
82,21,Oily,Medium,Dry,Vegan,Stable,High,8.751156493597376,0.0,0.0,0.0,0.0
83,23,Sensitive,Dusky,Cold,High_Sugar,Stable,High,2.448234568509319,3.750241126578379,3.80150790821104,0.0,6.691217391125635
84,22,Oily,Deep,Humid,Junk_Food,PCOS,High,10.0,0.0,4.665442180374663,0.0,0.0
85,26,Dry,Deep,Humid,Junk_Food,Teen,Low,7.18130306595948,7.43602711613688,4.700733593545742,0.0,0.0
86,48,Oily,Medium,Dry,High_Dairy,PCOS,Low,8.382230791745148,0.0,0.0,3.9,0.0
87,47,Oily,Fair,Temperate,High_Dairy,PCOS,High,7.794582150544363,0.0,0.0,3.5999999999999996,0.0
88,37,Dry,Very_Fair,Humid,Vegan,Teen,High,3.5825098261859036,7.383874787773205,0.0,0.6,0.0
89,38,Sensitive,Fair,Dry,Vegan,Teen,Low,2.3802969560053047,0.0,0.0,0.8999999999999999,5.169099449106292
90,49,Sensitive,Fair,Temperate,High_Dairy,Pregnant,Medium,0.0,0.0,0.0,4.2,7.858326279690825
91,36,Normal,Very_Fair,Cold,Balanced,Pregnant,Low,0.0,2.373053125093076,0.0,0.3,0.0
92,41,Sensitive,Deep,Dry,Vegan,Pregnant,High,0.0,0.0,3.830615122431653,1.7999999999999998,6.832845610240254
93,49,Sensitive,Fair,Temperate,Balanced,Teen,Low,4.483777154652035,0.0,0.0,4.2,7.4994259025357675
94,15,Oily,Dusky,Humid,Junk_Food,Stable,High,10.0,0.0,3.1671091402389715,0.0,0.0
95,49,Normal,Dusky,Humid,High_Sugar,PCOS,Low,2.7996963964719965,0.0,5.740763237707348,4.2,0.0
96,28,Dry,Medium,Dry,Balanced,PCOS,Low,0.0,7.402013452800872,0.0,0.0,0.0
97,17,Dry,Medium,Cold,Vegan,Pregnant,Low,0.0,10.0,0.0,0.0,0.0
98,15,Combination,Very_Fair,Dry,High_Dairy,Stable,High,0.0,0.0,0.0,0.0,0.0
99,19,Normal,Very_Fair,Humid,High_Dairy,Teen,Medium,3.513103456007155,0.0,0.0,0.0,0.0
100,40,Oily,Medium,Temperate,High_Sugar,PCOS,High,10.0,0.0,0.0,1.5,0.0
101,28,Combination,Fair,Cold,High_Sugar,Stable,Medium,3.859316619683134,2.016954574418301,0.0,0.0,0.0
102,41,Combination,Deep,Temperate,Junk_Food,PCOS,Medium,2.1578550757103674,0.0,4.430473867548248,1.7999999999999998,0.0
103,23,Dry,Dusky,Dry,Balanced,PCOS,Medium,0.0,6.319138825339091,3.6767919466475645,0.0,0.0
104,29,Sensitive,Very_Fair,Dry,High_Sugar,PCOS,Medium,2.5950500427570447,0.0,0.0,0.0,6.4444880280896
105,29,Oily,Medium,Temperate,Junk_Food,Teen,Medium,10.0,0.0,0.0,0.0,0.0
106,40,Normal,Dusky,Temperate,Junk_Food,Teen,Medium,7.474066715343846,0.0,3.61302318069001,1.5,0.0
107,27,Combination,Very_Fair,Temperate,Junk_Food,PCOS,High,3.2036525167592336,0.0,0.0,0.0,0.0
108,46,Oily,Very_Fair,Dry,Vegan,Teen,High,8.946408423239186,0.0,0.0,3.3,0.0
109,46,Dry,Fair,Temperate,High_Sugar,Stable,Low,2.923047503546365,8.069129869716393,0.0,3.3,0.0
110,18,Combination,Very_Fair,Humid,High_Dairy,Stable,Medium,0.0,0.0,0.0,0.0,0.0
111,44,Combination,Deep,Temperate,Junk_Food,PCOS,High,3.6702534502813786,0.0,3.96150680819137,2.6999999999999997,0.0
112,37,Dry,Very_Fair,Humid,High_Dairy,Pregnant,High,0.0,6.123543828476255,0.0,0.6,0.0
113,29,Dry,Deep,Humid,Vegan,Stable,High,0.0,6.140911114952721,5.6244728648617235,0.0,0.0
114,43,Dry,Fair,Temperate,Balanced,Teen,High,3.4589775808459264,6.744037749267302,0.0,2.4,0.0
115,27,Oily,Deep,Cold,Vegan,Teen,Low,8.715439923734214,2.2741895597070214,4.251084201600199,0.0,0.0
116,46,Oily,Dusky,Cold,Vegan,Stable,High,7.064310860064282,2.4584006515931147,3.5965104185163037,3.3,0.0
117,21,Oily,Very_Fair,Cold,High_Sugar,Pregnant,Low,8.250273852980516,2.400882422112859,0.0,0.0,0.0
118,36,Sensitive,Medium,Humid,Junk_Food,PCOS,Medium,3.7564568916556977,0.0,0.0,0.3,6.811329649327542
119,42,Combination,Medium,Cold,Vegan,Stable,Low,0.0,3.1128286594941015,0.0,2.1,0.0
120,16,Oily,Deep,Cold,Junk_Food,Teen,High,10.0,3.9340892589488314,3.963817273739492,0.0,0.0
121,20,Sensitive,Fair,Temperate,High_Dairy,Pregnant,Medium,0.0,0.0,0.0,0.0,7.328648672068924
122,42,Combination,Deep,Dry,Balanced,PCOS,Low,0.0,0.0,3.357738197132683,2.1,0.0
123,42,Oily,Deep,Humid,Balanced,Teen,Low,10.0,0.0,3.8674034279017726,2.1,0.0
124,34,Dry,Deep,Dry,High_Dairy,PCOS,Low,0.0,7.521699928342796,4.17698688500624,0.0,0.0
125,44,Normal,Dusky,Humid,High_Sugar,PCOS,High,2.2356622859475808,0.0,4.779231428789863,2.6999999999999997,0.0
126,25,Oily,Dusky,Humid,High_Dairy,Pregnant,Medium,5.855374437529084,0.0,4.33343934391457,0.0,0.0
127,42,Normal,Deep,Cold,High_Dairy,PCOS,Low,0.0,2.4620213796616954,5.5727557248796655,2.1,0.0
128,39,Oily,Fair,Temperate,High_Sugar,Teen,High,10.0,0.0,0.0,1.2,0.0
129,47,Dry,Very_Fair,Dry,High_Sugar,PCOS,Medium,2.3589941441066213,7.729903928047491,0.0,3.5999999999999996,0.0
130,15,Normal,Medium,Dry,Vegan,PCOS,Low,0.0,0.0,0.0,0.0,0.0
131,41,Sensitive,Dusky,Cold,Junk_Food,Stable,Medium,3.110275552511493,3.2378271142259143,3.9064187957290475,1.7999999999999998,5.959906747590114
132,27,Dry,Very_Fair,Dry,Balanced,Stable,High,0.0,6.712290250582759,0.0,0.0,0.0
133,17,Normal,Dusky,Dry,High_Sugar,Teen,Medium,7.905669135141627,0.0,5.268767246382639,0.0,0.0
134,20,Normal,Dusky,Humid,High_Sugar,PCOS,Medium,2.3883262802151206,0.0,4.984734872599483,0.0,0.0
135,22,Dry,Dusky,Temperate,Vegan,Stable,Medium,0.0,8.287992951786956,4.027368321228709,0.0,0.0
136,41,Dry,Deep,Temperate,Vegan,Teen,Low,2.473077821037424,8.091012748533588,4.83343077610041,1.7999999999999998,0.0
137,23,Dry,Deep,Dry,Junk_Food,PCOS,Low,3.151236496284394,6.547699937716685,3.787476271313842,0.0,0.0
138,47,Combination,Dusky,Dry,High_Sugar,Teen,Low,7.0905277306342995,0.0,4.664168500445333,3.5999999999999996,0.0
